"","mtry","trees","min_n","tree_depth","learn_rate","loss_reduction","sample_size",".metric",".estimator","mean","n","std_err",".config"
"1",8,457,15,2,0.0291819589458032,5.28376514524418e-06,0.316080434834119,"rmse","standard",11.1298615907114,5,0.110946391048341,"Preprocessor1_Model21"
"2",15,146,38,13,0.0137795324485945,5.20670754831431e-10,0.424619424438104,"rmse","standard",11.2172592324525,5,0.115594128400443,"Preprocessor1_Model43"
"3",9,1626,17,8,0.00340538667616574,2.06134710246774e-06,0.23482918599993,"rmse","standard",11.2699965850029,5,0.123811918198913,"Preprocessor1_Model23"
"4",12,83,29,7,0.0447860710359992,0.0614069906826343,0.473249795467127,"rmse","standard",11.274897557403,5,0.114731534581727,"Preprocessor1_Model34"
"5",5,766,2,9,0.00505045082258299,4.01848092315667e-08,0.311156726883724,"rmse","standard",11.3308840589762,5,0.122689375214801,"Preprocessor1_Model11"
"6",18,1650,33,13,0.00887706569059592,0.0155844516622747,0.245733362257946,"rmse","standard",11.446779214565,5,0.116629366019981,"Preprocessor1_Model50"
"7",17,956,18,10,0.00555478533767104,0.000159702886744209,0.854240649831481,"rmse","standard",11.5082158301202,5,0.135121277821662,"Preprocessor1_Model47"
"8",18,1535,10,5,0.000801968562240883,1.68331575611168e-07,0.169310647089034,"rmse","standard",11.5106224787828,5,0.162182995701438,"Preprocessor1_Model49"
"9",11,1851,32,10,0.0268580742126956,0.00267974252521948,0.172876122837886,"rmse","standard",11.7297500674643,5,0.103761888639496,"Preprocessor1_Model29"
"10",5,1913,9,7,0.0702129516698089,28.8171639385138,0.977073780227918,"rmse","standard",11.9764893726161,5,0.134982998830668,"Preprocessor1_Model13"
"11",11,1194,28,9,0.000624175238857035,5.57227318236522e-05,0.541178932950366,"rmse","standard",11.9840084950965,5,0.191419112943796,"Preprocessor1_Model28"
"12",5,402,19,6,0.00118058172256803,5.87851618108172,0.917940082615707,"rmse","standard",12.5659330714332,5,0.22082610639073,"Preprocessor1_Model14"
"13",3,1792,27,7,0.00020937490597273,0.000264757580620072,0.887591780360322,"rmse","standard",12.8529247425452,5,0.230482530309336,"Preprocessor1_Model08"
"14",10,1828,36,6,0.000106655210435832,1.72978490177948,0.405379115442745,"rmse","standard",13.5541176170454,5,0.252042078327481,"Preprocessor1_Model27"
"15",7,1098,13,13,0.000144449354183162,0.0043213880943849,0.616321532493457,"rmse","standard",13.6882265001109,5,0.254512238844501,"Preprocessor1_Model19"
"16",14,1215,14,3,8.26886375357697e-05,0.000843545923188739,0.35707721523568,"rmse","standard",13.9927866428012,5,0.260574006038284,"Preprocessor1_Model37"
"17",8,48,21,5,0.00181153277743882,2.84198424005262e-08,0.290781330234371,"rmse","standard",14.0366034773393,5,0.261436291602169,"Preprocessor1_Model22"
"18",7,194,4,5,0.000408958477137472,4.73203491009063e-07,0.597764518775977,"rmse","standard",14.0712980220189,5,0.263986790691881,"Preprocessor1_Model18"
"19",3,1380,11,9,3.29585712965075e-05,0.105994216317608,0.191431776046753,"rmse","standard",14.2582872281216,5,0.266778608295699,"Preprocessor1_Model06"
"20",14,358,39,11,4.53090574808505e-05,3.75484168852595,0.338139734238852,"rmse","standard",14.4118442088205,5,0.26878278568369,"Preprocessor1_Model39"
