"","mtry","trees","min_n",".metric",".estimator","mean","n","std_err",".config"
"1",5,1500,50,"rmse","standard",11.1414046074338,5,0.200883662626196,"Preprocessor1_Model09"
"2",5,1000,50,"rmse","standard",11.1444440701406,5,0.196381083315319,"Preprocessor1_Model06"
"3",5,500,50,"rmse","standard",11.145294199719,5,0.206057405625455,"Preprocessor1_Model03"
"4",3,1500,50,"rmse","standard",11.1613670160831,5,0.204888994136078,"Preprocessor1_Model08"
"5",3,1000,50,"rmse","standard",11.1637962464377,5,0.202309407710404,"Preprocessor1_Model05"
"6",3,500,50,"rmse","standard",11.165566882391,5,0.201287329953036,"Preprocessor1_Model02"
"7",5,1500,100,"rmse","standard",11.1742490616649,5,0.195205218718076,"Preprocessor1_Model18"
"8",5,500,100,"rmse","standard",11.1782490239429,5,0.197098496410246,"Preprocessor1_Model12"
"9",5,1000,100,"rmse","standard",11.1837151745584,5,0.197841727844227,"Preprocessor1_Model15"
"10",3,1500,100,"rmse","standard",11.2237736887284,5,0.204783616234035,"Preprocessor1_Model17"
"11",3,1000,100,"rmse","standard",11.2267036361971,5,0.204006670643193,"Preprocessor1_Model14"
"12",3,500,100,"rmse","standard",11.2270665292872,5,0.203278089236154,"Preprocessor1_Model11"
"13",5,1000,150,"rmse","standard",11.2275964154408,5,0.193642405337804,"Preprocessor1_Model24"
"14",5,1500,150,"rmse","standard",11.2280812572759,5,0.195665437238699,"Preprocessor1_Model27"
"15",5,500,150,"rmse","standard",11.2348892484438,5,0.198257109792534,"Preprocessor1_Model21"
"16",3,500,150,"rmse","standard",11.2945805626743,5,0.200136146627236,"Preprocessor1_Model20"
"17",3,1500,150,"rmse","standard",11.2951531543752,5,0.203577669636633,"Preprocessor1_Model26"
"18",3,1000,150,"rmse","standard",11.3012191898521,5,0.202494152166946,"Preprocessor1_Model23"
"19",1,1000,50,"rmse","standard",11.4217246426411,5,0.221675087628944,"Preprocessor1_Model04"
"20",1,1500,50,"rmse","standard",11.4290909159423,5,0.21765275239285,"Preprocessor1_Model07"
