"","mtry","trees","min_n",".metric",".estimator","mean","n","std_err",".config"
"1",1,1000,100,"mn_log_loss","binary",0.552768506512572,5,0.00616733393786031,"Preprocessor1_Model13"
"2",1,500,100,"mn_log_loss","binary",0.552867047314051,5,0.00648102747403039,"Preprocessor1_Model10"
"3",1,1500,100,"mn_log_loss","binary",0.553082988172045,5,0.00616189114656495,"Preprocessor1_Model16"
"4",3,500,150,"mn_log_loss","binary",0.553270651502917,5,0.00595263483566194,"Preprocessor1_Model20"
"5",3,1500,150,"mn_log_loss","binary",0.553637442533612,5,0.00592518579025508,"Preprocessor1_Model26"
"6",1,1000,50,"mn_log_loss","binary",0.553769147966822,5,0.006267552370745,"Preprocessor1_Model04"
"7",3,1000,150,"mn_log_loss","binary",0.553829125507787,5,0.00612736438699781,"Preprocessor1_Model23"
"8",1,1500,150,"mn_log_loss","binary",0.553874287803434,5,0.00617593442061903,"Preprocessor1_Model25"
"9",1,500,150,"mn_log_loss","binary",0.553980322503767,5,0.00652202005753063,"Preprocessor1_Model19"
"10",1,1000,150,"mn_log_loss","binary",0.554142679390629,5,0.00650209232045856,"Preprocessor1_Model22"
"11",1,1500,50,"mn_log_loss","binary",0.554284520057678,5,0.00623397292554318,"Preprocessor1_Model07"
"12",5,1500,150,"mn_log_loss","binary",0.554473330714148,5,0.00589109837548038,"Preprocessor1_Model27"
"13",3,500,100,"mn_log_loss","binary",0.554628179961506,5,0.00568472160850785,"Preprocessor1_Model11"
"14",3,1500,100,"mn_log_loss","binary",0.554683412696244,5,0.00575086335796096,"Preprocessor1_Model17"
"15",3,1000,100,"mn_log_loss","binary",0.554811259946066,5,0.00599829150560512,"Preprocessor1_Model14"
"16",5,500,150,"mn_log_loss","binary",0.555139239951596,5,0.00590012224439716,"Preprocessor1_Model21"
"17",5,1000,150,"mn_log_loss","binary",0.555370763628513,5,0.0055085033538788,"Preprocessor1_Model24"
"18",1,500,50,"mn_log_loss","binary",0.555665273298577,5,0.00650185397702386,"Preprocessor1_Model01"
"19",5,1500,100,"mn_log_loss","binary",0.555903911276238,5,0.00593562679345967,"Preprocessor1_Model18"
"20",5,1000,100,"mn_log_loss","binary",0.556178678226806,5,0.00553321920037163,"Preprocessor1_Model15"
