"","penalty","mixture",".metric",".estimator","mean","n","std_err",".config"
"1",0,0,"mn_log_loss","binary",0.554030191281733,5,0.00827823562268963,"Preprocessor1_Model001"
"2",0.1,0,"mn_log_loss","binary",0.55536022833641,5,0.00765704688545468,"Preprocessor1_Model002"
"3",0,0.2,"mn_log_loss","binary",0.555888152277446,5,0.00800261575219716,"Preprocessor1_Model023"
"4",0,0.4,"mn_log_loss","binary",0.556037013382351,5,0.00794262481089711,"Preprocessor1_Model045"
"5",0,0.3,"mn_log_loss","binary",0.556138961288613,5,0.00792510569407612,"Preprocessor1_Model034"
"6",0,0.1,"mn_log_loss","binary",0.556149456632207,5,0.00796667251855436,"Preprocessor1_Model012"
"7",0,0.7,"mn_log_loss","binary",0.55621687676072,5,0.00803022767067373,"Preprocessor1_Model078"
"8",0,0.6,"mn_log_loss","binary",0.556462160228998,5,0.0079541453975308,"Preprocessor1_Model067"
"9",0,0.5,"mn_log_loss","binary",0.556481918385891,5,0.00802289595250365,"Preprocessor1_Model056"
"10",0,1,"mn_log_loss","binary",0.556485799231624,5,0.00800797410141572,"Preprocessor1_Model111"
"11",0,0.8,"mn_log_loss","binary",0.556490622553257,5,0.00795557012498311,"Preprocessor1_Model089"
"12",0,0.9,"mn_log_loss","binary",0.556637468550127,5,0.00795851481915197,"Preprocessor1_Model100"
"13",0.2,0,"mn_log_loss","binary",0.557949336334556,5,0.00712757461236236,"Preprocessor1_Model003"
"14",0.1,0.1,"mn_log_loss","binary",0.558137597600621,5,0.00711994822636232,"Preprocessor1_Model013"
"15",0.3,0,"mn_log_loss","binary",0.560970229026106,5,0.00674444819121061,"Preprocessor1_Model004"
"16",0.1,0.2,"mn_log_loss","binary",0.562098049349908,5,0.00662864741273451,"Preprocessor1_Model024"
"17",0.4,0,"mn_log_loss","binary",0.56408491988763,5,0.00644154587628105,"Preprocessor1_Model005"
"18",0.2,0.1,"mn_log_loss","binary",0.565813132220859,5,0.00623702534855514,"Preprocessor1_Model014"
"19",0.1,0.3,"mn_log_loss","binary",0.566977835456796,5,0.00615476912890481,"Preprocessor1_Model035"
"20",0.5,0,"mn_log_loss","binary",0.567166635023779,5,0.00618845857808932,"Preprocessor1_Model006"
