"","penalty",".metric",".estimator","mean","n","std_err",".config"
"1",3.6,"rmse","standard",11.0839463634232,10,0.19792125560272,"Preprocessor1_Model036"
"2",3.5,"rmse","standard",11.0839543650792,10,0.197816712193999,"Preprocessor1_Model035"
"3",3.7,"rmse","standard",11.0839633926108,10,0.198010714891858,"Preprocessor1_Model037"
"4",3.8,"rmse","standard",11.0839974245225,10,0.198096122783068,"Preprocessor1_Model038"
"5",3.4,"rmse","standard",11.0839978409524,10,0.197708736625238,"Preprocessor1_Model034"
"6",3.9,"rmse","standard",11.0840416606573,10,0.198187025552209,"Preprocessor1_Model039"
"7",3.3,"rmse","standard",11.0840471364541,10,0.197605346877237,"Preprocessor1_Model033"
"8",3.2,"rmse","standard",11.0840831276601,10,0.197498792529163,"Preprocessor1_Model032"
"9",4,"rmse","standard",11.0841031441114,10,0.198275353921277,"Preprocessor1_Model040"
"10",3.1,"rmse","standard",11.0841546830875,10,0.197390818788494,"Preprocessor1_Model031"
"11",4.1,"rmse","standard",11.0841554181551,10,0.198363908823263,"Preprocessor1_Model041"
"12",4.2,"rmse","standard",11.0842200029143,10,0.198453612087454,"Preprocessor1_Model042"
"13",3,"rmse","standard",11.0842489361803,10,0.197283944297312,"Preprocessor1_Model030"
"14",4.3,"rmse","standard",11.0842967765188,10,0.198545312171237,"Preprocessor1_Model043"
"15",2.9,"rmse","standard",11.0843561058613,10,0.197158416724978,"Preprocessor1_Model029"
"16",4.4,"rmse","standard",11.0844087240071,10,0.198634495144997,"Preprocessor1_Model044"
"17",2.8,"rmse","standard",11.0845010574719,10,0.197033916789376,"Preprocessor1_Model028"
"18",4.5,"rmse","standard",11.0845154280474,10,0.198721326452729,"Preprocessor1_Model045"
"19",4.6,"rmse","standard",11.0846342668275,10,0.198808023661423,"Preprocessor1_Model046"
"20",2.7,"rmse","standard",11.0846673633351,10,0.196913854686483,"Preprocessor1_Model027"
